Entity,Code,Year,Sites providing TB diagnostic services using molecular WHO-recommended rapid diagnostics per million population
Afghanistan,AFG,2020,1.945
Afghanistan,AFG,2021,2.1
Afghanistan,AFG,2022,1.897
Afghanistan,AFG,2023,2.533
Africa,OWID_AFR,2020,2.443
Africa,OWID_AFR,2021,2.627
Africa,OWID_AFR,2022,3.062
Africa,OWID_AFR,2023,3.648
Albania,ALB,2020,0.3481
Albania,ALB,2021,0.3508
Albania,ALB,2022,0.3538
Albania,ALB,2023,0.3557
Algeria,DZA,2020,0.0908
Algeria,DZA,2021,0.1117
Algeria,DZA,2023,0.02167
Andorra,AND,2020,38.75
Andorra,AND,2021,38.28
Andorra,AND,2022,37.62
Andorra,AND,2023,37.1
Angola,AGO,2020,1.584
Angola,AGO,2021,0.4634
Angola,AGO,2022,0.758
Angola,AGO,2023,1.769
Anguilla,AIA,2022,0
Antigua and Barbuda,ATG,2020,10.88
Antigua and Barbuda,ATG,2021,10.83
Antigua and Barbuda,ATG,2022,10.77
Antigua and Barbuda,ATG,2023,10.71
Argentina,ARG,2020,0.2656
Argentina,ARG,2021,0.2869
Argentina,ARG,2022,0.3965
Argentina,ARG,2023,0.4612
Armenia,ARM,2020,2.768
Armenia,ARM,2021,3.484
Armenia,ARM,2022,4.164
Armenia,ARM,2023,3.736
Aruba,ABW,2020,9.31
Aruba,ABW,2021,9.3
Aruba,ABW,2022,9.27
Asia,OWID_ASI,2020,1.644
Asia,OWID_ASI,2021,2.334
Asia,OWID_ASI,2022,2.715
Asia,OWID_ASI,2023,3.064
Azerbaijan,AZE,2020,1.571
Azerbaijan,AZE,2021,1.563
Azerbaijan,AZE,2022,1.554
Azerbaijan,AZE,2023,1.551
Bahamas,BHS,2020,2.525
Bahamas,BHS,2021,5.047
Bahamas,BHS,2022,2.516
Bahamas,BHS,2023,5.008
Bangladesh,BGD,2020,1.948
Bangladesh,BGD,2021,2.672
Bangladesh,BGD,2022,2.805
Bangladesh,BGD,2023,3.033
Barbados,BRB,2020,3.549
Barbados,BRB,2021,3.545
Barbados,BRB,2023,3.541
Belarus,BLR,2020,2.566
Belarus,BLR,2021,3.352
Belarus,BLR,2022,4.688
Belarus,BLR,2023,4.72
Belize,BLZ,2020,5.117
Belize,BLZ,2021,5.06
Belize,BLZ,2022,17.38
Belize,BLZ,2023,19.45
Benin,BEN,2020,2.295
Benin,BEN,2021,2.236
Benin,BEN,2022,2.18
